order_id,name,item,qty,amount,date
ORD-26719,송지안,커피믹스박스,17,306000,2026/01/10
ORD-26328,연서준,화이트보드(대형),2,360000,2026/01/22
ORD-26731,미래테크㈜,전자레인지,6,588000,2026/01/12
ORD-26290,임지훈,도장케이스세트,18,396000,2026/01/26
ORD-26276,표유준,전자레인지,13,1274000,2026/01/20
ORD-26562,대일상사,사무용의자,14,1246000,2026/01/12
ORD-26285,문서현,사무용의자,5,445000,2026/01/27
ORD-26272,강민준,파일정리함,1,15000,2026/01/28
ORD-26987,㈜코어비즈,화이트보드마카세트,8,72000,2026/01/10
ORD-26613,한성유통,화이트보드(대형),16,2880000,2026/01/26
ORD-26607,오준서,웹캠커버세트,2,6000,2026/01/08
ORD-26020,미래테크㈜,포스트잇세트,5,35000,2026/01/28
ORD-26885,한성유통,클립보드,4,16000,2026/01/10
ORD-26966,조수아,A4복합기용지,16,336000,2026/01/23
ORD-26654,이서준,네임펜박스,8,96000,2026/01/11
ORD-26938,황서연,전자레인지,3,294000,2026/01/16
ORD-26270,동방인터내셔널,클립보드,3,12000,2026/01/01
ORD-26816,배지민,파일정리함,20,300000,2026/01/24
ORD-26443,문서현,전자레인지,4,392000,2026/01/27
ORD-26676,차윤서,도장케이스세트,3,66000,2026/01/01
ORD-26963,류하준,도장케이스세트,7,154000,2026/01/03
ORD-26854,이서준,네임펜박스,4,48000,2026/01/24
ORD-26227,미래테크㈜,파일정리함,8,120000,2026/01/04
ORD-26030,한성유통,화이트보드(대형),7,1260000,2026/01/18
ORD-26170,표유준,프린터토너,8,960000,2026/01/28
ORD-26224,임지훈,A4복합기용지,5,105000,2026/01/06
ORD-26531,박하윤,라벨프린터,7,455000,2026/01/22
ORD-26567,문서현,웹캠커버세트,18,54000,2026/01/23
ORD-26573,노태윤,화이트보드(대형),17,3060000,2026/01/01
ORD-26340,정우산업,파일정리함,10,150000,2026/01/19
ORD-26394,표유준,네임펜박스,10,120000,2026/01/23
ORD-26458,정예은,프린터토너,2,240000,2026/01/10
